id,name_en,name_am,school_type,curriculum,grades,language,sub_city,woreda,latitude,longitude,fee_range_etb,fee_range_usd,phone,email,website,established,verified,coordinates_accuracy,tags
1,International Community School of Addis Ababa,ኢንተርናሽናል ኮሚዩኒቲ ስኩል,international,"American (AP & IB)","PreK - Grade 12",English,Bole,03,9.0053,38.8011,"300,000 - 700,000","5,500 - 13,000",+251 11 371 1544,admissions@icsaddis.edu.et,icsaddis.edu.et,1957,false,medium,"international,american,AP,IB"
2,Sandford International School,ሳንድፎርድ ኢንተርናሽናል ስኩል,international,"IB (International Baccalaureate)","KG - Grade 12",English,Bole,02,9.0073,38.7658,"200,000 - 500,000","3,600 - 9,000",+251 11 371 1188,info@sandfordschool.org,sandfordschool.org,1947,false,medium,"international,IB"
3,Deutsche Schule Addis Abeba,ጀርመን ትምህርት ቤት,international,"German (Abitur)","Grade 1 - Grade 12",German,Kirkos,05,9.0278,38.7778,"150,000 - 350,000","2,700 - 6,400",+251 11 551 0044,info@dsaddis.de,dsaddis.de,1965,false,medium,"international,german"
4,Lycée Guébré-Mariam,ልሴ ግብረ ማርያም,international,"French (Baccalauréat)","Maternelle - Terminale",French,Arada,06,9.0400,38.7628,"120,000 - 300,000","2,200 - 5,500",+251 11 123 4567,secretariat@lgm.et,lgm.et,1946,false,medium,"international,french"
5,Ethiopian International School,ኢትዮጵያ ኢንተርናሽናል ስኩል,international,"IB & Ethiopian","KG - Grade 12",English,Bole,04,9.0021,38.7931,"180,000 - 400,000","3,300 - 7,300",+251 11 661 2345,info@eis.edu.et,eis.edu.et,1995,false,low,"international,IB"
6,Green Valley International School,ግሪን ቫሊ ኢንተርናሽናል ስኩል,international,"British (Cambridge)","KG - Grade 12",English,Bole,03,8.9987,38.8056,"160,000 - 380,000","2,900 - 6,900",+251 11 662 1234,admissions@greenvalley.edu.et,greenvalley.edu.et,2003,false,low,"international,british,cambridge"
7,Alpha International Academy,አልፋ ኢንተርናሽናል አካዳሚ,international,"American & Ethiopian","KG - Grade 12",English,Yeka,07,9.0421,38.8156,"120,000 - 250,000","2,200 - 4,500",+251 11 645 3456,info@alpha.edu.et,alpha.edu.et,2005,false,low,"international,american"
8,Nexus International School,ኔክሰስ ኢንተርናሽናል ስኩል,international,"Cambridge IGCSE","KG - Grade 12",English,Bole,06,9.0102,38.7956,"140,000 - 320,000","2,500 - 5,800",+251 11 663 7890,info@nexus.edu.et,nexus.edu.et,2008,false,low,"international,cambridge,igcse"
9,Bole International Academy,ቦሌ ኢንተርናሽናል አካዳሚ,international,"Ethiopian & International","KG - Grade 10","English & Amharic",Bole,05,9.0078,38.7889,"100,000 - 200,000","1,800 - 3,600",+251 11 665 4321,info@bolea.edu.et,,2010,false,low,"international,bilingual,bole"
10,Kolfe International School,ቆልፌ ኢንተርናሽናል ስኩል,international,"Ethiopian & International","KG - Grade 12","English & Amharic","Kolfe Keranio",04,9.0228,38.6934,"80,000 - 180,000","1,500 - 3,300",+251 11 412 3456,,,2012,false,low,"international,bilingual,kolfe"
11,Nazareth School,ናዝሬት ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Kirkos,03,9.0156,38.7534,"40,000 - 90,000","730 - 1,600",+251 11 551 8901,,,1929,false,medium,"private,catholic,religious,historic"
12,St. Joseph School (Piassa),ቅዱስ ዮሴፍ ትምህርት ቤት (ፒያሳ),private,Ethiopian,"KG - Grade 12","Amharic & English",Arada,04,9.0356,38.7478,"35,000 - 80,000","640 - 1,450",+251 11 155 7890,,,1950,false,medium,"private,catholic,religious"
13,St. Joseph School (CMC),ቅዱስ ዮሴፍ ትምህርት ቤት (ሲኤምሲ),private,Ethiopian,"KG - Grade 12","Amharic & English",Yeka,10,9.0456,38.8234,"40,000 - 90,000","730 - 1,600",+251 11 646 7890,,,1998,false,low,"private,catholic,religious"
14,Bole Academy,ቦሌ አካዳሚ,private,Ethiopian,"KG - Grade 12","Amharic & English",Bole,04,9.0034,38.7967,"50,000 - 110,000","910 - 2,000",+251 11 663 2345,,,2002,false,low,"private,bole"
15,Sunshine Academy,ሰንሻይን አካዳሚ,private,Ethiopian,"KG - Grade 10","Amharic & English",Yeka,06,9.0389,38.8189,"35,000 - 75,000","640 - 1,360",+251 11 646 5678,,,2007,false,low,"private,yeka"
16,Covenant School,ኮቪናንት ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English",Bole,07,9.0089,38.8078,"60,000 - 130,000","1,090 - 2,360",+251 11 667 8901,,,2004,false,low,"private,christian"
17,Top School Ethiopia,ቶፕ ስኩል ኢትዮጵያ,private,Ethiopian,"KG - Grade 12","Amharic & English",Kirkos,07,9.0189,38.7645,"45,000 - 100,000","820 - 1,820",+251 11 552 3456,,,2006,false,low,"private,kirkos"
18,Galaxy International School,ጋላክሲ ኢንተርናሽናል ስኩል,private,"Ethiopian & International","KG - Grade 12","English & Amharic","Nifas Silk-Lafto",05,8.9834,38.7589,"55,000 - 120,000","1,000 - 2,180",+251 11 371 9012,,,2009,false,low,"private,bilingual"
19,Meba School,ሜባ ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English","Addis Ketema",06,9.0412,38.7178,"25,000 - 60,000","450 - 1,090",+251 11 276 5678,,,2000,false,low,"private,addis-ketema,affordable"
20,Harmony School,ሃርሞኒ ትምህርት ቤት,private,Ethiopian,"KG - Grade 10","Amharic & English",Lideta,04,9.0189,38.7312,"30,000 - 65,000","545 - 1,180",+251 11 471 2345,,,2003,false,low,"private,lideta"
21,Vision School,ቪዥን ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English",Gulele,03,9.0623,38.7412,"28,000 - 65,000","510 - 1,180",+251 11 276 4567,,,2001,false,low,"private,gulele"
22,Hope School,ሆፕ ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English","Kolfe Keranio",06,9.0289,38.7012,"22,000 - 55,000","400 - 1,000",+251 11 413 3456,,,1999,false,low,"private,kolfe,affordable"
23,Ethio-Parents School,ኢትዮ-ፓረንትስ ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English",Bole,08,9.0134,38.8134,"60,000 - 140,000","1,090 - 2,550",+251 11 661 5678,,,2001,false,low,"private,bole"
24,Aster Mamo School,አስቴር ማሞ ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Yeka,08,9.0378,38.8289,"40,000 - 90,000","730 - 1,636",+251 11 648 1234,,,2000,false,low,"private,yeka"
25,Pioneer School,ፓይኒር ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English","Nifas Silk-Lafto",07,8.9756,38.7434,"35,000 - 80,000","640 - 1,455",+251 11 372 2345,,,2005,false,low,"private,nifas-silk"
26,Crown Academy,ክራውን አካዳሚ,private,Ethiopian,"KG - Grade 12","Amharic & English",Bole,10,9.0212,38.8212,"65,000 - 150,000","1,180 - 2,727",+251 11 664 5678,,,2008,false,low,"private,bole,premium"
27,Pyramid School,ፒራሚድ ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English",Kirkos,08,9.0201,38.7701,"40,000 - 90,000","730 - 1,636",+251 11 553 6789,,,2004,false,low,"private,kirkos"
28,Sunrise Academy,ሰንራይዝ አካዳሚ,private,Ethiopian,"KG - Grade 8","Amharic & English","Akaki Kaliti",05,8.9134,38.7856,"20,000 - 50,000","364 - 909",+251 11 441 2345,,,2011,false,low,"private,akaki-kaliti,affordable"
29,Zion Academy,ዚዮን አካዳሚ,private,Ethiopian,"KG - Grade 12","Amharic & English",Arada,07,9.0423,38.7512,"35,000 - 80,000","640 - 1,455",+251 11 157 8901,,,2002,false,low,"private,christian,arada"
